objectid,event_time_utc,event_time_epoch_ms,city_twp,display_address,incident_type,agency_type,agency_name,latitude,longitude
14,2026-08-01T21:15:00Z,1785618900000,GRAND RAPIDS TWP,I-96 EB TO FULTON EB RAMP,VEHICLE CRASH,Police,KENT CO SHERIFF,42.96440095,-85.58265461
2,2026-08-01T21:21:00Z,1785619260000,LOWELL TWP,1700 BLOCK OF VERONICA ST SE,FRAUD,Police,KENT CO SHERIFF,,
1,2026-08-01T21:23:00Z,1785619380000,GAINES TWP,KALAMAZOO AVE SE / 68TH ST SE,VEHICLE CRASH,Police,KENT CO SHERIFF,,
6,2026-08-01T21:39:00Z,1785620340000,WYOMING,2900 BLOCK OF PECKHEATH DR SW,WELFARE CHECK,Police,WYOMING POLICE,,
1,2026-08-01T21:42:00Z,1785620520000,CASCADE TWP,2900 BLOCK OF THORNHILLS AVE SE,MEDICAL EMERGENCY,Fire,CASCADE TWP FIRE,,
8,2026-08-01T21:47:00Z,1785620820000,KENTWOOD,3300 BLOCK OF 36TH ST SE,ASSAULT,Police,KENTWOOD POLICE,,
3,2026-08-01T21:56:00Z,1785621360000,WYOMING,100 BLOCK OF 28TH ST SW,MEDICAL EMERGENCY,Fire,WYOMING FIRE,,
2,2026-08-01T21:57:00Z,1785621420000,GRANDVILLE,4400 BLOCK OF IVANREST AVE SW,MEDICAL EMERGENCY,Fire,GRANDVILLE FIRE,,
1,2026-08-01T22:00:00Z,1785621600000,KENTWOOD,2800 BLOCK OF PFEIFFER WOODS DR SE,LOUD NOISE,Police,KENTWOOD POLICE,,
2,2026-08-01T22:05:00Z,1785621900000,GRANDVILLE,4100 BLOCK OF 38TH ST SW,MEDICAL EMERGENCY,Fire,GRANDVILLE FIRE,,
1,2026-08-01T22:05:00Z,1785621900000,GRANDVILLE,4100 BLOCK OF 38TH ST SW,GENERAL ASSIST,Police,GRANDVILLE POLICE,,
3,2026-08-01T22:05:00Z,1785621900000,WYOMING,28TH ST SW / CLYDE PARK AVE SW,MEDICAL EMERGENCY,Fire,WYOMING FIRE,,
5,2026-08-01T22:05:00Z,1785621900000,WYOMING,2000 BLOCK OF ARNOLD AVE SW,LARCENY,Police,WYOMING POLICE,,
3,2026-08-01T22:07:00Z,1785622020000,GRANDVILLE,4300 BLOCK OF PIUTE DR SW,ANIMAL INCIDENT,Police,GRANDVILLE POLICE,,
